satellite_id,OBJECT_NAME,OWNER,OBJECT_TYPE,ALTITUDE_MEAN_KM,INCLINATION,ORBIT_CLASS,collision_score,pc_annual,pc_annual_pct,n_events_total,n_high_risk,n_medium_risk,n_low_risk,n_emergency,avg_miss_distance_m,min_miss_distance_m,max_pc_event,max_pc_event_pct,events_per_month_estimated,data_quality,data_source,extrapolated,data_period_days,imputation_confidence,n_peers_used
44836,JILIN-1 GAOFEN 2B,PRC,PAYLOAD,516.5,97.52,LEO,80.2,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_14,False,0,MEDIUM,14.0
44841,TIANYI-17 (TY-17),PRC,PAYLOAD,176.5,97.41,LEO,45.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_0,False,0,BASELINE,0.0
44842,TIANQI-4A,PRC,PAYLOAD,190.0,97.48,LEO,45.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_0,False,0,BASELINE,0.0
44843,TIANQI-4B,PRC,PAYLOAD,228.0,97.51,LEO,45.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_0,False,0,BASELINE,0.0
44852,TYVAK-0092,US,PAYLOAD,213.5,36.91,LEO,45.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_0,False,0,BASELINE,0.0
44853,TYVAK-0129,US,PAYLOAD,179.0,36.94,LEO,45.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_0,False,0,BASELINE,0.0
44854,DUCHIFAT-3,ISRA,PAYLOAD,382.5,36.94,LEO,45.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_0,False,0,BASELINE,0.0
44855,LEMUR-2-JPGSQUARED,US,PAYLOAD,209.0,36.96,LEO,45.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_0,False,0,BASELINE,0.0
44856,QPS-SAR-1 (IZANAGI),JPN,PAYLOAD,187.0,36.93,LEO,45.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_0,False,0,BASELINE,0.0
44857,RISAT-2BR1,IND,PAYLOAD,562.5,36.96,LEO,43.6,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_2,False,0,LOW,2.0
44858,OBJECT G,TBD,PAYLOAD,205.0,36.95,LEO,45.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_0,False,0,BASELINE,0.0
44859,IHOPSAT-TD,US,PAYLOAD,537.0,36.97,LEO,43.6,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_2,False,0,LOW,2.0
44860,LEMUR-2-HIMOMANDDAD,US,PAYLOAD,332.5,36.96,LEO,45.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_0,False,0,BASELINE,0.0
44861,LEMUR-2-PAPPY,US,PAYLOAD,239.5,36.94,LEO,45.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_0,False,0,BASELINE,0.0
44863,LEMUR-2-THEODOSIA,US,PAYLOAD,190.5,36.95,LEO,45.0,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_0,False,0,BASELINE,0.0
44873,CSG-1,IT,PAYLOAD,622.5,97.89,LEO,87.9,,,0,0,0,0,0,,,,,,,IMPUTED_PEER_18,False,0,MEDIUM,18.0
