satellite_id,OBJECT_NAME,OWNER,OBJECT_TYPE,ALTITUDE_MEAN_KM,ORBIT_CLASS,bors_score,age_factor,tri,operator_heritage_index,infant_mortality_flag,cqi,hi,mri,svi,age_years,expected_lifetime_years,launch_mass_kg,contractor_tier,operator_tier,purpose
5285,OPS 3850,US,PAYLOAD,166.5,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,54.35,12,800.0,3,3,Communications
5289,COSMOS 427,CIS,PAYLOAD,246.0,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,54.34,12,800.0,3,3,Communications
5297,OPS 8709,US,PAYLOAD,275.5,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,54.33,12,800.0,3,3,Communications
5305,COSMOS 428,CIS,PAYLOAD,223.0,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,54.31,12,800.0,3,3,Communications
5317,EXPLORER 44 (SOLRAD-10),US,PAYLOAD,209.0,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,54.27,12,800.0,3,3,Communications
5329,OPS 8373,US,PAYLOAD,228.0,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,54.25,12,800.0,3,3,Communications
5331,COSMOS 429,CIS,PAYLOAD,221.0,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,54.24,12,800.0,3,3,Communications
5340,COSMOS 430,CIS,PAYLOAD,220.0,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,54.23,12,800.0,3,3,Communications
5364,COSMOS 431,CIS,PAYLOAD,214.5,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,54.21,12,800.0,3,3,Communications
5379,COSMOS 432,CIS,PAYLOAD,221.5,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,54.19,12,800.0,3,3,Communications
5394,OV1-20,US,PAYLOAD,251.0,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,54.19,12,800.0,3,3,Communications
5396,AVL 802 [MYLAR BALLOON],US,PAYLOAD,298.0,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,54.19,12,800.0,3,3,Communications
5397,OV1-21,US,PAYLOAD,831.5,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,54.19,12,800.0,3,3,Communications
5398,RIGIDSPHERE 2 (LCS 4),US,PAYLOAD,767.0,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,54.19,12,800.0,3,3,Communications
5401,GRIDSPHERE 2,US,PAYLOAD,510.0,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,54.19,12,800.0,3,3,Communications
5402,COSMOS 433,CIS,PAYLOAD,198.0,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,54.18,12,800.0,3,3,Communications
5406,GRIDSPHERE 1,US,PAYLOAD,302.5,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,54.19,12,800.0,3,3,Communications
5407,COSMOS 434,CIS,PAYLOAD,167.5,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,54.17,12,800.0,3,3,Communications
5409,OPS 8607,US,PAYLOAD,248.5,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,54.17,12,800.0,3,3,Communications
5410,RIGIDSPHERE 1,US,PAYLOAD,257.5,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,54.19,12,800.0,3,3,Communications
5435,EOLE 1 (CAS-A),FR,PAYLOAD,694.5,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,54.16,12,800.0,3,3,Communications
5466,COSMOS 437,CIS,PAYLOAD,176.5,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,54.09,12,800.0,3,3,Communications
5468,OPS 5454,US,PAYLOAD,171.0,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,54.09,12,800.0,3,3,Communications
5469,OPS 7681,US,PAYLOAD,192.0,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,54.09,12,800.0,3,3,Communications
5475,COSMOS 438,CIS,PAYLOAD,240.5,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,54.08,12,800.0,3,3,Communications
5478,COSMOS 439,CIS,PAYLOAD,239.5,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,54.06,12,800.0,3,3,Communications
5480,COSMOS 440,CIS,PAYLOAD,176.0,LEO,65.0,1.0,0.575,0.7,0.1,0.3,0.8,0.3,0.8,54.06,12,800.0,3,3,Communications
