NORAD_CAT_ID,OBJECT_NAME,OWNER,OBJECT_TYPE,OPS_STATUS_CODE,LAUNCH_DATE,LAUNCH_SITE,LAUNCH_YEAR,PERIOD,INCLINATION,APOGEE,PERIGEE,ALTITUDE_MEAN_KM,ORBIT_CLASS
638,0.1 SQ METER TARGET,US,PAYLOAD,D,1963-08-29,AFWTR,1963,88.89,81.85,226.0,213.0,219.5,LEO
641,ATLAS AGENA D,US,PAYLOAD,D,1963-09-06,AFWTR,1963,89.02,94.37,278.0,174.0,226.0,LEO
668,THOR AGENA D,US,PAYLOAD,D,1963-09-23,AFWTR,1963,87.6,74.93,170.0,142.0,156.0,LEO
670,TRANSIT 5B-1,US,PAYLOAD,,1963-09-28,AFWTR,1963,107.09,89.98,1124.0,1060.0,1092.0,LEO
671,RADIATION SAT (5E-1),US,PAYLOAD,,1963-09-28,AFWTR,1963,107.05,89.98,1120.0,1060.0,1090.0,LEO
673,COSMOS 20,CIS,PAYLOAD,D,1963-10-18,TYMSC,1963,89.5,64.89,297.0,202.0,249.5,LEO
677,ATLAS AGENA D,US,PAYLOAD,D,1963-10-25,AFWTR,1963,88.61,99.08,292.0,120.0,206.0,LEO
681,THOR AGENA D,US,PAYLOAD,D,1963-10-29,AFWTR,1963,88.37,89.87,196.0,191.0,193.5,LEO
682,HITCH HIKER 2,US,PAYLOAD,D,1963-10-29,AFWTR,1963,87.91,89.94,178.0,164.0,171.0,LEO
683,POLYOT 1,CIS,PAYLOAD,D,1963-11-01,TYMSC,1963,88.35,58.82,206.0,180.0,193.0,LEO
687,COSMOS 21,CIS,PAYLOAD,D,1963-11-11,TYMSC,1963,88.5,64.78,220.0,181.0,200.5,LEO
689,COSMOS 22,CIS,PAYLOAD,D,1963-11-16,TYMSC,1963,90.28,64.9,382.0,195.0,288.5,LEO
694,ATLAS CENTAUR 2,US,PAYLOAD,,1963-11-27,AFETR,1963,102.05,30.35,1254.0,457.0,855.5,LEO
695,THOR AGENA D,US,PAYLOAD,D,1963-11-27,AFWTR,1963,88.5,70.04,245.0,156.0,200.5,LEO
704,TRANSIT 5B-2,US,PAYLOAD,,1963-12-05,AFWTR,1963,106.9,89.92,1108.0,1058.0,1083.0,LEO
705,TRANSIT 5E-3,US,PAYLOAD,,1963-12-05,AFWTR,1963,106.85,89.92,1105.0,1057.0,1081.0,LEO
707,COSMOS 23,CIS,PAYLOAD,D,1963-12-13,KYMSC,1963,89.12,48.94,259.0,203.0,231.0,LEO
711,ATLAS AGENA D,US,PAYLOAD,D,1963-12-18,AFWTR,1963,88.47,97.9,272.0,126.0,199.0,LEO
712,COSMOS 24,CIS,PAYLOAD,D,1963-12-19,TYMSC,1963,90.45,65.03,394.0,199.0,296.5,LEO
714,EXPLORER 19 (ADI-1),US,PAYLOAD,D,1963-12-19,AFWTR,1963,90.11,78.67,301.0,259.0,280.0,LEO
716,TIROS 8,US,PAYLOAD,-,1963-12-21,AFETR,1963,97.78,58.49,663.0,641.0,652.0,LEO
718,THOR AGENA D,US,PAYLOAD,D,1963-12-21,AFWTR,1963,88.64,64.78,257.0,158.0,207.5,LEO
719,HITCH HIKER 3,US,PAYLOAD,D,1963-12-21,AFWTR,1963,88.68,64.53,215.0,204.0,209.5,LEO
728,GGSE 1 (GGRS),US,PAYLOAD,,1964-01-11,AFWTR,1964,103.03,69.91,913.0,890.0,901.5,LEO
729,SECOR 1B,US,PAYLOAD,,1964-01-11,AFWTR,1964,103.21,69.9,919.0,902.0,910.5,LEO
730,SOLRAD 7A,US,PAYLOAD,,1964-01-11,AFWTR,1964,103.15,69.9,918.0,897.0,907.5,LEO
731,GREB,US,PAYLOAD,,1964-01-11,AFWTR,1964,103.13,69.9,917.0,896.0,906.5,LEO
734,OPS 3367 A,US,PAYLOAD,,1964-01-19,AFWTR,1964,100.73,98.97,803.0,783.0,793.0,LEO
735,OPS 3367 B,US,PAYLOAD,,1964-01-19,AFWTR,1964,100.81,98.97,808.0,785.0,796.5,LEO
740,ECHO 2 (A-12),US,PAYLOAD,D,1964-01-25,AFWTR,1964,94.48,81.4,522.0,465.0,493.5,LEO
