NORAD_CAT_ID,OBJECT_NAME,OWNER,OBJECT_TYPE,OPS_STATUS_CODE,LAUNCH_DATE,LAUNCH_YEAR,AGE_YEARS,ALTITUDE_MEAN_KM,INCLINATION,APOGEE,PERIGEE,PERIOD,ORBIT_CLASS,LAUNCH_MASS_KG,MASS_SOURCE,EXPECTED_LIFETIME_YEARS,CONTRACTOR_TIER,OPERATOR_TIER,PURPOSE,DATA_COMPLETENESS_SCORE,MASS_ESTIMATED,TIER_INFERRED,PURPOSE_INFERRED,LIFETIME_ESTIMATED
315,FTV 1129,US,PAYLOAD,D,1962-06-23,1962,63.31006160164271,187.0,75.09,187.0,187.0,88.24,LEO,800.0,PRE_2000_ESTIMATE,12,3,3,Communications,40,True,True,True,True
316,FTV 1151,US,PAYLOAD,D,1962-06-28,1962,63.29637234770705,163.0,76.01,163.0,163.0,87.74,LEO,800.0,PRE_2000_ESTIMATE,12,3,3,Communications,40,True,True,True,True
338,COSMOS 6 (SPUTNIK 16),CIS,PAYLOAD,D,1962-06-30,1962,63.290896646132786,189.0,48.95,189.0,189.0,88.28,LEO,800.0,PRE_2000_ESTIMATE,12,3,3,Communications,40,True,True,True,True
343,SAMOS 9 (FTV 2403),US,PAYLOAD,D,1962-07-18,1962,63.24161533196441,189.0,96.11,215.0,163.0,88.28,LEO,800.0,PRE_2000_ESTIMATE,12,3,3,Communications,40,True,True,True,True
345,FTV 1131,US,PAYLOAD,D,1962-07-28,1962,63.214236824093085,189.0,71.09,190.0,188.0,88.27,LEO,800.0,PRE_2000_ESTIMATE,12,3,3,Communications,40,True,True,True,True
346,COSMOS 7 (SPUTNIK 17),CIS,PAYLOAD,D,1962-07-28,1962,63.214236824093085,276.5,64.95,352.0,201.0,90.04,LEO,800.0,PRE_2000_ESTIMATE,12,3,3,Communications,40,True,True,True,True
360,FTV 1152,US,PAYLOAD,D,1962-08-02,1962,63.200547570157426,204.5,82.25,215.0,194.0,88.58,LEO,800.0,PRE_2000_ESTIMATE,12,3,3,Communications,40,True,True,True,True
361,SAMOS 10 (FTV 2404),US,PAYLOAD,D,1962-08-05,1962,63.19233401779603,203.0,96.3,203.0,203.0,88.55,LEO,800.0,PRE_2000_ESTIMATE,12,3,3,Communications,40,True,True,True,True
363,VOSTOK 3,CIS,PAYLOAD,D,1962-08-11,1962,63.175906913073234,179.0,64.96,200.0,158.0,88.08,LEO,800.0,PRE_2000_ESTIMATE,12,3,3,Communications,40,True,True,True,True
365,VOSTOK 4,CIS,PAYLOAD,D,1962-08-12,1962,63.17316906228611,186.5,65.0,210.0,163.0,88.22,LEO,800.0,PRE_2000_ESTIMATE,12,3,3,Communications,40,True,True,True,True
367,COSMOS 8 (SPUTNIK 18),CIS,PAYLOAD,D,1962-08-18,1962,63.15674195756331,177.5,48.92,188.0,167.0,88.04,LEO,800.0,PRE_2000_ESTIMATE,12,3,3,Communications,40,True,True,True,True
369,FTV 3502,US,PAYLOAD,,1962-08-23,1962,63.14305270362765,594.5,98.49,650.0,539.0,96.57,LEO,800.0,PRE_2000_ESTIMATE,12,3,3,Communications,40,True,True,True,True
377,FTV 1153,US,PAYLOAD,D,1962-08-29,1962,63.12662559890486,170.5,65.21,174.0,167.0,87.9,LEO,800.0,PRE_2000_ESTIMATE,12,3,3,Communications,40,True,True,True,True
381,SPUTNIK 20,CIS,PAYLOAD,D,1962-09-01,1962,63.11841204654346,216.5,64.8,247.0,186.0,88.82,LEO,800.0,PRE_2000_ESTIMATE,12,3,3,Communications,40,True,True,True,True
385,FTV 1132,US,PAYLOAD,D,1962-09-01,1962,63.11841204654346,219.0,82.79,236.0,202.0,88.88,LEO,800.0,PRE_2000_ESTIMATE,12,3,3,Communications,40,True,True,True,True
389,SPUTNIK 21,CIS,PAYLOAD,D,1962-09-12,1962,63.08829568788501,198.5,64.9,218.0,179.0,88.4,LEO,800.0,PRE_2000_ESTIMATE,12,3,3,Communications,40,True,True,True,True
396,FTV 1133 & ERS 2,US,PAYLOAD,D,1962-09-17,1962,63.07460643394935,179.0,81.83,179.0,179.0,88.06,LEO,800.0,PRE_2000_ESTIMATE,12,3,3,Communications,40,True,True,True,True
397,TIROS 6,US,PAYLOAD,-,1962-09-18,1962,63.07186858316222,582.5,58.3,590.0,575.0,96.32,LEO,800.0,PRE_2000_ESTIMATE,12,3,3,Communications,40,True,True,True,True
422,COSMOS 9,CIS,PAYLOAD,D,1962-09-27,1962,63.04722792607803,318.5,64.99,340.0,297.0,90.9,LEO,800.0,PRE_2000_ESTIMATE,12,3,3,Communications,40,True,True,True,True
